,BR,HW,L4,LN,NP,O2,T3
,MC,MC,MC,MC,MC,MC,MC
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
1/11/2009 11:00,,12.2,32.6,31.5,22,14.8,12.2
1/11/2009 12:00,,18.9,27.1,24.5,24.5,18.4,16.2
1/11/2009 13:00,,15.2,28.7,24,21.3,24.1,9.6
1/11/2009 14:00,,14.5,24.6,29.2,23.2,24.1,6.5
1/11/2009 15:00,,4.7,18.5,30.3,22.3,24.8,5.7
1/11/2009 16:00,,19,21.8,22.7,20.5,17.6,7.8
1/11/2009 17:00,,24.4,23.3,32.4,27.1,20.8,9.3
1/11/2009 18:00,,23,28.8,31,24.3,27.8,11.6
1/11/2009 19:00,,23.2,26.6,32.7,29,40.3,17
1/11/2009 20:00,,17.6,29.6,32.2,27.3,39.1,6
1/11/2009 21:00,,23.6,26.9,36.4,33,33.5,12.4
1/11/2009 22:00,,21.1,24.6,39.2,32.7,33.1,12.2
1/11/2009 23:00,,27.3,33.8,30.6,34.8,38.1,11.6
1/12/2009 0:00,,24.9,34.9,32.8,35.5,37,16.3
1/12/2009 1:00,,24,32.1,36,40.3,35.3,13
1/12/2009 2:00,,24.4,31.9,34.6,36.6,32.8,6.9
1/12/2009 3:00,,25.2,30.4,36.2,33.1,32.1,6.6
1/12/2009 4:00,,27.7,31.2,35.3,36,26.4,4.7
1/12/2009 5:00,,20.3,29.5,31.1,36.5,18.6,5.8
1/12/2009 6:00,,19.5,29.7,30.5,28.8,15.9,6.6
1/12/2009 7:00,,26.2,31.7,29.4,32.5,20.3,7.5
1/12/2009 8:00,,26.8,27.8,26.4,33.9,24.8,9.6
1/12/2009 9:00,,25.9,25.4,32.8,31.7,25.3,9.9
1/12/2009 10:00,,28.3,19.9,40.7,24.8,25.8,10
1/12/2009 11:00,,30.9,20.3,30.8,23.5,27.3,12.7
1/12/2009 12:00,,32.5,21.1,23.4,30.5,32,13.5
1/12/2009 13:00,,13.7,20.1,25.5,31.8,28,7.9
1/12/2009 14:00,,1.3,16,28.2,24.5,30.6,6.2
1/12/2009 15:00,,6.1,15.9,33.3,22.5,29.6,5.8
1/12/2009 16:00,,8.8,18.1,31.4,32.2,32.4,8.3
1/12/2009 17:00,,12.8,21.5,29.2,35.7,32.1,16.1
1/12/2009 18:00,,16.8,22,30.1,41.7,31.8,17
1/12/2009 19:00,,15.7,21.9,28.4,43.2,30.1,17.4
1/12/2009 20:00,,18,24.7,36,44.4,29.9,13
1/12/2009 21:00,,21.9,22.2,36.4,46.7,39,12.8
1/12/2009 22:00,,26.1,23,42.9,43.9,43.1,12.7
1/12/2009 23:00,,28.1,23.5,34.7,39.1,35.8,12.5
1/13/2009 0:00,,32.6,19.6,28.2,36.9,26.2,6.7
1/13/2009 1:00,,30.3,20.3,26.4,35,19.7,5.2
1/13/2009 2:00,,22.8,19.4,29.9,35.8,13,5.6
1/13/2009 3:00,,18,18.3,27.1,34.1,14.4,8.9
1/13/2009 4:00,,19.6,19.7,25.4,34,16.9,8.6
1/13/2009 5:00,,18.6,17.6,19.4,33.5,18.1,10
1/13/2009 6:00,,19.2,18.2,21.2,25.9,17.2,9.9
1/13/2009 7:00,,11.5,20.7,21.5,24.4,12,9.1
1/13/2009 8:00,,21.3,13.1,27.8,37.8,10.9,10
1/13/2009 9:00,,21.8,10,29.2,35.4,14.5,5.5
1/13/2009 10:00,,15.8,17.8,33.8,45.8,21.9,6.3
1/13/2009 11:00,,24,14.5,28,34.6,16.1,8.3
1/13/2009 12:00,,24.6,13.3,39.7,35,9.6,7.3
1/13/2009 13:00,,16.3,11.4,29.3,46.6,7,7.6
1/13/2009 14:00,,4.5,19.6,22,45.1,8.7,4.3
1/13/2009 15:00,,-1.9,19,26.3,33,11.5,4.9
1/13/2009 16:00,,7.4,19,22.6,31.7,9.3,5.4
1/13/2009 17:00,,7.5,22.9,26.6,23.7,14,7.8
1/13/2009 18:00,,14,22.6,28.8,20.4,19.1,12.3
1/13/2009 19:00,,17.7,24.6,35.3,28.8,23.5,10.2
1/13/2009 20:00,,16.3,27.2,30.1,31.2,24,6.2
1/13/2009 21:00,,10.5,29.6,29.6,33.8,27.6,9.7
1/13/2009 22:00,,13.3,25.6,29.3,30.8,23.6,8.3
1/13/2009 23:00,,15.5,25.7,34.5,22.7,19.7,8.1
1/14/2009 0:00,,18.3,23.5,32.8,29.7,19.1,6
1/14/2009 1:00,,11.7,19.8,14.2,24.2,15,5.6
1/14/2009 2:00,,5.8,16.9,15.7,22.6,12.4,7.1
1/14/2009 3:00,,4.3,14.6,19.2,20.8,11.1,7.8
1/14/2009 4:00,,1.6,17.4,20.1,20.2,9.3,6
1/14/2009 5:00,,0.8,17.2,26.2,31.9,11,4.8
1/14/2009 6:00,,-1.3,19.3,20.8,40.9,8.6,4.4
1/14/2009 7:00,,19.8,17.7,29.6,31.8,10.8,7.3
1/14/2009 8:00,,26.9,19.6,31.5,32.4,13.5,13.1
1/14/2009 9:00,,8,27.1,36.2,30.9,16.2,9.9
1/14/2009 10:00,,23,26.8,47.9,29.9,15.4,7.1
1/14/2009 11:00,,20.5,22.2,44.2,27.2,20.4,8.1
1/14/2009 12:00,,20.5,25.9,40.7,24.1,19.8,8.4
1/14/2009 13:00,,19.1,26.3,,27.3,15.8,12.2
1/14/2009 14:00,,13.5,29.4,,30.4,18,13.5
